Register	Address	Value1	Value2
PH7.CDIV	01C8	04	FB
PH7.AMP1L	01C9	05	FA
PH7.AMP1U*	01CA	06	39
PH7.AMP2L	01CB	07	F8
PH7.AMP2U*	01CC	08	37
PH7.AMP3L	01CD	09	F6
PH7.AMP3U*	01CE	0A	35
PH7.AMP4L	01CF	0B	F4
PH7.AMP4U*	01D0	0C	33
PH7.AMP5L	01D1	0D	F2
PH7.AMP5U*	01D2	0E	31
PH7.AMP6L	01D3	0F	F0
PH7.AMP6U*	01D4	10	2F
PH7.AMP7L	01D5	11	EE
PH7.AMP7U*	01D6	12	2D
PH7.AMP8L	01D7	13	EC
PH7.AMP8U*	01D8	14	2B
PH7.AMP9L	01D9	15	EA
PH7.AMP9U*	01DA	16	29
PH7.AMP10L	01DB	17	E8
PH7.AMP10U*	01DC	18	27
PH7.AMP11L	01DD	19	E6
PH7.AMP11U*	01DE	1A	25
PH7.AMP12L	01DF	1B	E4
PH7.AMP12U*	01E0	1C	23
PH7.AMP13L	01E1	1D	E2
PH7.AMP13U*	01E2	1E	21
PH7.AMP14L	01E3	1F	E0
PH7.AMP14U*	01E4	20	1F
PH7.AMP15L	01E5	21	DE
PH7.AMP15U*	01E6	22	1D
PH7.AMP16L	01E7	23	DC
PH7.AMP16U*	01E8	24	1B
PH7.AMP17L	01E9	25	DA
PH7.AMP17U*	01EA	26	19
PH7.AMP18L	01EB	27	D8
PH7.AMP18U*	01EC	28	17
PH7.AMP19L	01ED	29	D6
PH7.AMP19U*	01EE	2A	15
PH7.AMP20L	01EF	2B	D4
PH7.AMP20U*	01F0	2C	13
PH7.AMP21L	01F1	2D	D2
PH7.AMP21U*	01F2	2E	11
PH7.AMP22L	01F3	2F	D0
PH7.AMP22U*	01F4	30	0F
PH7.AMP23L	01F5	31	CE
PH7.AMP23U*	01F6	32	0D
PH7.AMP24L	01F7	33	CC
PH7.AMP24U*	01F8	34	0B
PH7.AMP25L	01F9	35	CA
PH7.AMP25U*	01FA	36	09
PH7.AMP26L	01FB	37	C8
PH7.AMP26U*	01FC	38	07
PH7.PG_TIMEOUT	01FD	39	C6
---	01FE	---	---
---	01FF	---	---
PH8.CTL1*	0200	35	C2
PH8.CTL2*	0201	3A	05
PH8.STPA	0202	3B	C4
PH8.STPB	0203	3C	C3
PH8.STPC	0204	3D	C2
PH8.OFST	0205	3E	C1
PH8.DLYL	0206	3F	C0
PH8.DLYU	0207	40	BF
PH8.CDIV	0208	41	BE
PH8.AMP1L	0209	42	BD
PH8.AMP1U*	020A	01	3E
PH8.AMP2L	020B	43	BC
PH8.AMP2U*	020C	02	3D
PH8.AMP3L	020D	44	BB
PH8.AMP3U*	020E	03	3C
PH8.AMP4L	020F	45	BA
PH8.AMP4U*	0210	04	3B
PH8.AMP5L	0211	46	B9
PH8.AMP5U*	0212	05	3A
PH8.AMP6L	0213	47	B8
PH8.AMP6U*	0214	06	39
PH8.AMP7L	0215	48	B7
PH8.AMP7U*	0216	07	38
PH8.AMP8L	0217	49	B6
PH8.AMP8U*	0218	08	37
PH8.AMP9L	0219	4A	B5
PH8.AMP9U*	021A	09	36
PH8.AMP10L	021B	4B	B4
PH8.AMP10U*	021C	0A	35
PH8.AMP11L	021D	4C	B3
PH8.AMP11U*	021E	0B	34
PH8.AMP12L	021F	4D	B2
PH8.AMP12U*	0220	0C	33
PH8.AMP13L	0221	4E	B1
PH8.AMP13U*	0222	0D	32
PH8.AMP14L	0223	4F	B0
PH8.AMP14U*	0224	0E	31
PH8.AMP15L	0225	50	AF
PH8.AMP15U*	0226	0F	30
PH8.AMP16L	0227	51	AE
PH8.AMP16U*	0228	10	2F
PH8.AMP17L	0229	52	AD
PH8.AMP17U*	022A	11	2E
PH8.AMP18L	022B	53	AC
PH8.AMP18U*	022C	12	2D
PH8.AMP19L	022D	54	AB
PH8.AMP19U*	022E	13	2C
PH8.AMP20L	022F	55	AA
PH8.AMP20U*	0230	14	2B
PH8.AMP21L	0231	56	A9
PH8.AMP21U*	0232	15	2A
PH8.AMP22L	0233	57	A8
PH8.AMP22U*	0234	16	29
PH8.AMP23L	0235	58	A7
PH8.AMP23U*	0236	17	28
PH8.AMP24L	0237	59	A6
PH8.AMP24U*	0238	18	27
PH8.AMP25L	0239	5A	A5
PH8.AMP25U*	023A	19	26
PH8.AMP26L	023B	5B	A4
PH8.AMP26U*	023C	1A	25
PH8.PG_TIMEOUT	023D	5C	A3
---	023E	---	---
---	023F	---	---
PH9.CTL1*	0240	54	A3
PH9.CTL2*	0241	1B	24
PH9.STPA	0242	5D	A2
PH9.STPB	0243	5E	A1
PH9.STPC	0244	5F	A0
PH9.OFST	0245	60	9F
PH9.DLYL	0246	61	9E
PH9.DLYU	0247	62	9D
PH9.CDIV	0248	63	9C
PH9.AMP1L	0249	64	9B
PH9.AMP1U*	024A	1C	23
PH9.AMP2L	024B	65	9A
PH9.AMP2U*	024C	1D	22
PH9.AMP3L	024D	66	99
PH9.AMP3U*	024E	1E	21
PH9.AMP4L	024F	67	98
PH9.AMP4U*	0250	1F	20
PH9.AMP5L	0251	68	97
PH9.AMP5U*	0252	20	1F
PH9.AMP6L	0253	69	96
PH9.AMP6U*	0254	21	1E
PH9.AMP7L	0255	6A	95
PH9.AMP7U*	0256	22	1D
PH9.AMP8L	0257	6B	94
PH9.AMP8U*	0258	23	1C
PH9.AMP9L	0259	6C	93
PH9.AMP9U*	025A	24	1B
