131,10,6,-15,6,,2.5,1.5,-3.75,1.5,,0.0025,0.0015,-0.00375,0.0015,,0.025,0.015,-0.0375,0.015
132,7,7,-19,-2,,1.75,1.75,-4.75,-0.5,,0.00175,0.00175,-0.00475,-0.0005,,0.0175,0.0175,-0.0475,-0.005
133,-1,3,-12,-3,,-0.25,0.75,-3,-0.75,,-0.00025,0.00075,-0.003,-0.00075,,-0.0025,0.0075,-0.03,-0.0075
134,-2,-3,-15,1,,-0.5,-0.75,-3.75,0.25,,-0.0005,-0.00075,-0.00375,0.00025,,-0.005,-0.0075,-0.0375,0.0025
135,-5,-3,3,-2,,-1.25,-0.75,0.75,-0.5,,-0.00125,-0.00075,0.00075,-0.0005,,-0.0125,-0.0075,0.0075,-0.005
136,-5,-2,1,1,,-1.25,-0.5,0.25,0.25,,-0.00125,-0.0005,0.00025,0.00025,,-0.0125,-0.005,0.0025,0.0025
137,-1,-4,10,-5,,-0.25,-1,2.5,-1.25,,-0.00025,-0.001,0.0025,-0.00125,,-0.0025,-0.01,0.025,-0.0125
138,-4,-5,9,0,,-1,-1.25,2.25,0,,-0.001,-0.00125,0.00225,0,,-0.01,-0.0125,0.0225,0
139,-9,-12,18,-15,,-2.25,-3,4.5,-3.75,,-0.00225,-0.003,0.0045,-0.00375,,-0.0225,-0.03,0.045,-0.0375
140,-7,-6,19,-4,,-1.75,-1.5,4.75,-1,,-0.00175,-0.0015,0.00475,-0.001,,-0.0175,-0.015,0.0475,-0.01
141,-7,-3,12,-2,,-1.75,-0.75,3,-0.5,,-0.00175,-0.00075,0.003,-0.0005,,-0.0175,-0.0075,0.03,-0.005
142,1,-2,15,-2,,0.25,-0.5,3.75,-0.5,,0.00025,-0.0005,0.00375,-0.0005,,0.0025,-0.005,0.0375,-0.005
143,-4,-1,7,-10,,-1,-0.25,1.75,-2.5,,-0.001,-0.00025,0.00175,-0.0025,,-0.01,-0.0025,0.0175,-0.025
144,3,0,1,-2,,0.75,0,0.25,-0.5,,0.00075,0,0.00025,-0.0005,,0.0075,0,0.0025,-0.005
145,16,3,3,3,,4,0.75,0.75,0.75,,0.004,0.00075,0.00075,0.00075,,0.04,0.0075,0.0075,0.0075
146,5,2,-4,-2,,1.25,0.5,-1,-0.5,,0.00125,0.0005,-0.001,-0.0005,,0.0125,0.005,-0.01,-0.005
147,16,7,-19,11,,4,1.75,-4.75,2.75,,0.004,0.00175,-0.00475,0.00275,,0.04,0.0175,-0.0475,0.0275
148,8,-2,-29,5,,2,-0.5,-7.25,1.25,,0.002,-0.0005,-0.00725,0.00125,,0.02,-0.005,-0.0725,0.0125
149,7,-5,-14,2,,1.75,-1.25,-3.5,0.5,,0.00175,-0.00125,-0.0035,0.0005,,0.0175,-0.0125,-0.035,0.005
150,6,7,-9,1,,1.5,1.75,-2.25,0.25,,0.0015,0.00175,-0.00225,0.00025,,0.015,0.0175,-0.0225,0.0025
151,8,-2,-7,3,,2,-0.5,-1.75,0.75,,0.002,-0.0005,-0.00175,0.00075,,0.02,-0.005,-0.0175,0.0075
152,-2,6,3,-5,,-0.5,1.5,0.75,-1.25,,-0.0005,0.0015,0.00075,-0.00125,,-0.005,0.015,0.0075,-0.0125
153,-1,-3,1,-5,,-0.25,-0.75,0.25,-1.25,,-0.00025,-0.00075,0.00025,-0.00125,,-0.0025,-0.0075,0.0025,-0.0125
154,-10,-6,6,3,,-2.5,-1.5,1.5,0.75,,-0.0025,-0.0015,0.0015,0.00075,,-0.025,-0.015,0.015,0.0075
155,-15,0,17,-14,,-3.75,0,4.25,-3.5,,-0.00375,0,0.00425,-0.0035,,-0.0375,0,0.0425,-0.035
156,-15,-1,11,-6,,-3.75,-0.25,2.75,-1.5,,-0.00375,-0.00025,0.00275,-0.0015,,-0.0375,-0.0025,0.0275,-0.015
157,-6,-12,16,-1,,-1.5,-3,4,-0.25,,-0.0015,-0.003,0.004,-0.00025,,-0.015,-0.03,0.04,-0.0025
158,-6,-4,5,-2,,-1.5,-1,1.25,-0.5,,-0.0015,-0.001,0.00125,-0.0005,,-0.015,-0.01,0.0125,-0.005
159,-4,-1,1,-14,,-1,-0.25,0.25,-3.5,,-0.001,-0.00025,0.00025,-0.0035,,-0.01,-0.0025,0.0025,-0.035
160,0,-4,2,0,,0,-1,0.5,0,,0,-0.001,0.0005,0,,0,-0.01,0.005,0
161,1,1,-1,-2,,0.25,0.25,-0.25,-0.5,,0.00025,0.00025,-0.00025,-0.0005,,0.0025,0.0025,-0.0025,-0.005
162,-2,4,-6,2,,-0.5,1,-1.5,0.5,,-0.0005,0.001,-0.0015,0.0005,,-0.005,0.01,-0.015,0.005
